分类,普通话,方言正字【标注参考这列】,发音
语法,前面走来了一个胖胖的小男孩。,前面𧼱过来一个壮猛个小鬼王。,zia mie bie kue le ie ke jyang mang ke siao jy uang.
语法,他家一下子死了三头猪。,渠浪=窝=里一记工夫死了三只猪。,ge lang ue li ie jie kong fu si le sa tse jy.
语法,这辆汽车要开到广州去。/这辆汽车要开去广州。,个部汽车要开得广州去。,ke bu qi tshia iao khe te kuang jiu khe.
语法,学生们坐汽车坐了两整天了。,个些学生坐了两日两夜个汽车了。,ke se o sang sue le liang nie liang ia ke qi tshia le.
语法,你尝尝他做的点心再走吧。,侬尝尝渠做个点心再走。,nong riang riang ge tsue ke tia xing tse jiu.
语法,a.你在唱什么？b.我没在唱，我放着录音呢。,a.侬来末=里唱淡=实=？b.我未唱过，我来个里放录音。,a nong le me li qiang ta rie. b a mi qiang kue a le ke li fang lo ing.
语法,a.你在唱什么？b.我没在唱，我放着录音呢。,a.侬来末=里唱淡=实=？b.弗是我唱个，我来个里放录音。,a nong le me li qiang ta rie. b fe si a qiang ke a le ke li fang lo ing.
语法,a.我吃过兔子肉，你吃过没有？b.没有，我没吃过。,a.我吃过兔个肉，侬吃过未？b.还未，我未吃过。,a a qie kue thu ke nio nong qie kue mi? b ua mi a mi qie kue.
语法,我洗过澡了，今天不打篮球了。,我洗浴过了，今日儿弗去打篮球了。,a xie io gue le jing ni fe khe tang le jiu le.
语法,我洗过澡了，今天不打篮球了。,我洗过浴了，今日儿弗去打篮球了。,a xie kue io le jing ni fe khe tang le jiu le.
语法,我算得太快算错了，让我重新算一遍。,我算得太快了，算𧸖了，让我再算一遍过。,a se te the khua le se dza le niang a tse se ie pie kue.
语法,他一高兴就唱起歌来了。,渠一记高兴[起来]便唱歌了。,ge ie jie kao xing qie bie qiang kue le.
语法,谁刚才议论我老师来着？,还正个记哪个来个里谈论我浪=老师？,ua jing ke jie la ke le ke li da leng a lang lao si?
语法,只写了一半，还得写下去。,还正写了一半，还要写了去。,ua jing sia le ie pe ua iao sia lo khe.
语法,你才吃了一碗米饭，再吃一碗吧。,侬还正吃了一碗饭，再吃碗添儿。,nong ua jing qie le ie ua va tse qie ua thie.
语法,让孩子们先走，你再把展览仔仔细细地看一遍。,让小个人走起，侬再帮展览会认认真真望一遍过。,niang siao ke ning jiu qi nong tse pang tse le ui ning ning jing jing mong ie pie kue.
语法,他在电视机前看着看着睡着了。,渠来电视机前面望记望记睏去了。,ge le die si ji zia mie mong jie mong jie khueng khe le.
语法,你算算看，这点钱够不够花？,侬算算起，个帝=儿钞票够弗够用？,nong se se qi ke ting tshao phiao kiu fe kiu iong?
语法,老师给了你一本很厚的书吧？,老师是弗是分侬一本危险厚个书？,lao si si fe si feng nong ie peng ui xie kiu ke xy?
语法,老师给了你一本很厚的书吧？,老师是弗是分侬一本厚猛个书？,lao si si fe si feng nong ie peng kiu mang ke xy?
语法,那个卖药的骗了他一千块钱呢。,渠让末=个卖药个骗走一干块钞票。,ge niang me ge ma ie ke phie jiu ie tshia khue tshao phiao.
语法,a.我上个月借了他三百块钱。b.我上个月借了他三百块钱。,a.上个月我问渠借了三百块钞票。b.我上个月借得渠三百块钞票。,a riang ke nye a meng ge tsia le sa pe khue tshao phiao. b a riang ke nye tsia te ge sa pe khue tshao phiao.
语法,a.我上个月借了他三百块钱。b.我上个月借了他三百块钱。,a.上个月我问渠借了三百块钞票。b.我上个月借渠三百块钞票。,a riang ke nye a meng ge tsia le sa pe khue tshao phiao. b a riang ke nye tsia ge sa pe khue tshao phiao.
语法,a.王先生的刀开得很好。b.王先生的刀开得很好。,a.王先生个刀开得危险好。b.王先生个刀开得危险好。,a uang xie sang ke tao khe te ui xie xao. b uang xie sang ke tao khe te ui xie xao.
语法,我不能怪人家，只能怪自己。,我弗好怪别个，只好怪我自。,a fe xao kua bie ke jie xao kua a ri.
语法,a.明天王经理会来公司吗？b.我看他不会来。,a.明朝王经理会弗会来公司？b.我望渠弗会来。,a ming jiao uang ji li ue fe ue le kong si? b a mong ge fe ue le.
语法,a.明天王经理会来公司吗？b.我看他不会来。,a.明朝王经理会来公司弗？b.我望渠[弗会]来。,a ming jiao uang ji li ue le kong si fe? b a mong ge fe le.
语法,我们用什么车从南京往这里运家具呢？,我浪=用淡=实=车分个些家具从南京运归来呢？,a lang iong ta rie tshia feng ke se jia jy zong ne jing yeng kue le ni?
语法,他像个病人似的靠在沙发上。,渠跟生病个人一样隑得沙发上。,ge keng sang bing ke ning i iang ge te sa fe xiang.
语法,这么干活连小伙子都会累坏的。,个亨=样子做生活，连后生都吃弗落。,ke xang iang tsi tsue sang ua lie eu sang tu qie fe lo.
语法,他跳上末班车走了。我迟到一步，只能自己慢慢走回学校了。,渠爬上顶后面一班车走了。我侬推板一帝=，只好自慢慢儿𧼱转学堂里。,ge bea riang ting eu mie ie pa tshia jiu le. a nong the pa ie ti jie xao ri ma ma ni bie jye o dang li.
语法,这是谁写的诗？谁猜出来我就奖励谁十块钱。,个首诗哪个写个？哪个猜着我便赏渠十块钞票。,ke xiu si la ge sia ke? la ge tshe jie a bie xiang ge rie khue tshao phiao.
语法,我给你的书是我教中学的舅舅写的。,我分侬个末=本书是我教初中个娘舅写个。,a feng nong ke me peng xy si a kao tshu jiong ke niang jiu sia ke.
语法,你比我高，他比你还要高。,侬比我长些，渠比侬还要长。,nong pi a jiang ze ge pi nong ua iao jiang.
语法,老王跟老张一样高。,老王跟老张一样长。,lao uang keng lao jiang i iang jiang.
语法,我走了，你们俩再多坐一会儿。,我去起，尔浪=两个再坐记添儿。,a khe qi ng nang liang ke tse sue jie thie.
语法,我说不过他，谁都说不过这个家伙。,我讲弗过渠，随便哪个都讲弗过个个货。,a kang fe kue ge rie bie la ke tu kang fe kue ke ke xue.
语法,我说不过他，谁都说不过这个家伙。,我讲弗渠过，随便哪个都讲弗过个个货。,a kang fe ge kue rie bie la ke tu kang fe kue ke ke xue.
语法,我说不过他，谁都说不过这个家伙。,我讲渠弗过，随便哪个都讲弗过个个货。,a kang ge fe kue rie bie la ke tu kang fe kue ke ke xue.
语法,上次只买了一本书，今天要多买几本。,上趟就买了一本书，今日儿要多买两本。,riang thang riu ma le ie peng xy jing ni iao tue ma liang peng.
