柳州话读音,柳州字转写用字,释义
,眼皮盖,眼皮。
,野猫,兔子；野兔。
,崩嘴,豁嘴。
,笡,斜；歪。
,猪红,猪血。
,猪郎公,专供配种的公猪。
,脚鱼,鳖；甲鱼。
,脚眼珠,踝骨
,毫子,银质的辅币；硬币〈小额的)。
,廊檐,屋檐。
,惯势,助长坏习惯；娇惯；放任。
,淋,给庄稼上肥；用水浇灌（花、草等）。
,淋肥,施肥。
,绹（綯）,用绳索拴、捆。
,绹倒,拴着。
,朝朝,每天早晨。
,葫子瓜,瓠子。
,硬是狠,真行。
,搭个信,带个信。
,喊码,猜拳。
,跑老生,做生意。
,跛手,一只手。
,黑灯,熄灯。
,锅头,灶；炉灶；锅台。
,锅墨烟,锅底黑灰。
,畲地,田地。
,痛过刀,比刀割还痛。
,慌,怕；害怕。
,道士佬,道士。
,谢顶,秃顶（头顶头发脱落）。
,塘基,池塘边的路。
,椿芽,香椿树的幼芽。
,赖茶,滚烫的热茶。
,蒜子,蒜瓣。
,蓬,丛；密集的草木。
,蒙（濛、矇、懞）,粉甜可口。
,蒙倒,捂住（眼睛）；掩住。
,零粉,芡粉。
,零鸡蛋,零分。
,嘟嘴,噘嘴。
,瞄,看；瞧。
,跳胶,跳皮筋儿。
,𪢮（*）,圆。
,𪢮个,圆的；完整的。
,筷条,筷子。
,舅娘,舅母。
,煲药,煎药。
,腮巴,腮。
,鲇拐,鲇鱼。
,蔸,棵。
,颗子,人身上的小肉疙瘩。
,算盘子,喉结。
,寡公,单身汉。
,褛（褸）,棉袄。
,撞到,遇见；碰见。
,暴,萌发；露出（新芽）。
,潲,用泔水、米糠、野菜等煮成的饲料。
,嘴巴,嘴。
,赞鸡,母鸡。
,螺丝批,改锥。
,𫔌（鏾）,阉（鸡）。
,鳅鱼,泥鳅。
,𬋍菜,热菜。
,𬋍水,热水。
,嚣（囂）,放肆；器 张。
,镯头,手镯。
,ong菜,空心菜
,国有,各有
,夜闹,热闹
